name,serviceTag,model,status,imagedOn,inInventory
CHAS6086,58112651,Surface Go 2,DEPLOYED,,0
CHAS5882,1091312651,Surface Go 2,DEPLOYED,,0
CHAS5883,11403512551,Surface Go 2,DEPLOYED,,0
CHAS6015,1027BG3,Latitude 5520,DEPLOYED,,0
CHAS6291,105YGG3,Latitude 5520,DEPLOYED,,0
CHAS6112,10M7WG3,Latitude 5520,DEPLOYED,,0
CHAS6075,1127BG3,Latitude 5520,DEPLOYED,,0
CHAS5965,115YGG3,Latitude 5520,DEPLOYED,,0
CHAS7143,11LXHW3,Latitude 7530,DEPLOYED,,0
CHAS4633,126SNF2,Latitude 5590,DEPLOYED,,0
CHAS6342,126VHG3,Latitude 5520,DEPLOYED,,0
CHAS5750,128FKD3,OptiPlex 7080,DEPLOYED,,0
CHAS5752,128GKD3,OptiPlex 7080,DEPLOYED,,0
CHAS5751,128HKD3,OptiPlex 7080,DEPLOYED,,0
CHAS6154,12CJRG3,Latitude 5520,DEPLOYED,,0
CHAS5802,12GXV93,Latitude 5520,DEPLOYED,,0
CHAS5898,12LB9G3,Latitude 5520,DEPLOYED,,0
CHAS5095,132BL13,Latitude 5500,DEPLOYED,,0
CHAS5969,13C6RG3,Latitude 5520,DEPLOYED,,0
CHAS5272,13TR253,Latitude 5500,DEPLOYED,,0
CHAS5495,14S6S73,Latitude 5510,DEPLOYED,,0
CHAS6620,14W39R3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS4956,14XNYY2,Latitude 5500,DEPLOYED,,0
CHAS7031,14YZP93,Latitude 5520,DEPLOYED,,0
CHAS5507,1550S73,Latitude 5510,DEPLOYED,,0
CHAS6174,15JZ2L3,OptiPlex 5090,DEPLOYED,,0
CHAS6982,15KQRT3,OptiPlex 5000,DEPLOYED,,0
CHAS5399,162X473,Latitude 5510,DEPLOYED,,0
CHAS5068,16G93X2,Latitude 5500,DEPLOYED,,0
CHAS5998,16LBHG3,Latitude 5520,DEPLOYED,,0
CHAS5238,17SQW33,Latitude 5500,DEPLOYED,,0
CHAS6089,17W8TG3,Latitude 5520,DEPLOYED,,0
CHAS4599,1885XT2,Latitude 5590,DEPLOYED,,0
CHAS6339,18HDHG3,Latitude 5520,DEPLOYED,,0
CHAS5805,197XV93,Latitude 5520,DEPLOYED,,0
CHAS5716,19XQ253,Latitude 5500,DEPLOYED,,0
CHAS4975,1B1RG13,OptiPlex 7470 AIO,DEPLOYED,,0
CHAS4973,1B1SG13,OptiPlex 7470 AIO,DEPLOYED,,0
CHAS4976,1B2C613,OptiPlex 7470 AIO,DEPLOYED,,0
CHAS4974,1B2D613,OptiPlex 7470 AIO,DEPLOYED,,0
CHAS5889,1B2H4B3,Latitude 5520,DEPLOYED,,0
CHAS6307,1BMP6M3,Precision 5560,DEPLOYED,,0
CHAS6120,1BP4VG3,Latitude 5520,DEPLOYED,,0
CHAS5730,1BZZP93,Latitude 5520,DEPLOYED,,0
CHAS5884,1CG54B3,Latitude 5520,DEPLOYED,,0
CHAS5371,1CM3673,Latitude 5510,DEPLOYED,,0
CHAS6658,1CMHPR3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS6740,1CNSPR3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS5067,1CVM3X2,Latitude 5500,DEPLOYED,,0
CHAS5713,1CZZP93,Latitude 5520,DEPLOYED,,0
CHAS5757,1DDSR93,Latitude 5520,DEPLOYED,,0
CHAS6367,1DH02N3,OptiPlex 5090,DEPLOYED,,0
CHAS4020,1DTXNH2,Latitude 5580,DEPLOYED,,0
CHAS5565,1DXN253,Latitude 5500,DEPLOYED,,0
CHAS5254,1F3HM33,Precision 5540,DEPLOYED,,0
CHAS7022,1FC88S3,Latitude 5530,DEPLOYED,,0
CHAS5645,1FFNZ93,Latitude 5520,DEPLOYED,,0
CHAS7208,1FVFRV3,Precision 5570,DEPLOYED,,0
