Asset Name,Serial Number,Model
CHAS3658,DSD9RD2,OptiPlex 3040
CHAS3750,GBW9DH2,OptiPlex 3040
CHAS3813,,
CHAS3829,D38Y3H2,Latitude E5570
CHAS4020,1DTXNH2,Latitude 5580
CHAS4305,CQ6VYQ2,OptiPlex 7050
CHAS4325,8G7MQQ2,Latitude 5590
CHAS4325.chas.local,,
CHAS4346,GSNDLQ2,Latitude 5590
CHAS4375,6RNQ0S2,OptiPlex 7460 AIO
CHAS4401,7TS8JR2,Latitude 5590
CHAS4428,,
CHAS4475,C3X26S2,Latitude 5590
CHAS4489,5938CS2,OptiPlex 7060
CHAS4492,CVV77S2,Latitude 5590
CHAS4502,DT4F1T2,OptiPlex 7460 AIO
CHAS4505,DT5C1T2,OptiPlex 7460 AIO
CHAS4510,DT3G1T2,OptiPlex 7460 AIO
CHAS4533,6MYQ0T2,OptiPlex 7060
CHAS4539,5B2P8Y2,Latitude 5590
CHAS4552,3H98BT2,OptiPlex 7460 AIO
CHAS4557,3H88BT2,OptiPlex 7460 AIO
CHAS4561,3HB6BT2,OptiPlex 7460 AIO
CHAS4567,8W8QJR2,Latitude 5590
CHAS4572,,
CHAS4576,315JHV2,OptiPlex 7460 AIO
CHAS4579,4YHNJR2,Latitude 5590
CHAS4580,FJ938S2,Latitude 5590
CHAS4585,315GHV2,OptiPlex 7460 AIO
CHAS4586,316HHV2,OptiPlex 7460 AIO
CHAS4587,316MHV2,OptiPlex 7460 AIO
CHAS4588,315HHV2,OptiPlex 7460 AIO
CHAS4589,316LHV2,OptiPlex 7460 AIO
CHAS4591,316GHV2,OptiPlex 7460 AIO
CHAS4592,315LHV2,OptiPlex 7460 AIO
CHAS4593,317KHV2,OptiPlex 7460 AIO
CHAS4597,CK2SZV2,OptiPlex 7460 AIO
CHAS4598,FXF5XT2,Latitude 5590
CHAS4599,1885XT2,Latitude 5590
CHAS4600,BQ2GZV2,Precision Tower 3430
CHAS4601,,
CHAS4604,BN630W2,OptiPlex 7460 AIO
CHAS4606,BN6YZV2,OptiPlex 7460 AIO
CHAS4611,BN600W2,OptiPlex 7460 AIO
CHAS4612,BN5YZV2,OptiPlex 7460 AIO
CHAS4616,BN730W2,OptiPlex 7460 AIO
CHAS4617,,
CHAS4618,BN820W2,OptiPlex 7460 AIO
CHAS4619,BN830W2,OptiPlex 7460 AIO
CHAS4623,5WM5VT2,Latitude 5590
CHAS4628,BN5ZZV2,OptiPlex 7460 AIO
CHAS4631,86KHNV2,Latitude 7490
CHAS4632,GR7NNF2,Latitude 5590
CHAS4632.chas.local,,
CHAS4633,126SNF2,Latitude 5590
CHAS4636,JKHWNF2,Latitude 5590
CHAS4640,H0VJ3W2,OptiPlex 7460 AIO
CHAS4644,BJR5PV2,Latitude 5590
CHAS4646,H5GWNF2,Latitude 5590
CHAS4650,F8D9DW2,OptiPlex 7460 AIO
CHAS4651,F8DHDW2,OptiPlex 7460 AIO
CHAS4653,F8DFDW2,OptiPlex 7460 AIO
CHAS4654,F8DDDW2,OptiPlex 7460 AIO
